date,is_holiday,is_weekday,weather_situation,temp_celsius,apparent_temp_celsius,humidity_percent,windspeed_kph,casual_users,registered_users,total_users,day_name,windspeed_outlier,is_holiday_check,is_weekday_check,weather_situation_check
01-01-2011 00:00,NO,NO,2,11,11,81,17,331,654,985,Saturday,FALSE,Valid,Valid,Valid
02-01-2011 00:00,NO,NO,2,9,6.5,71.5,17,131,670,801,Sunday,FALSE,Valid,Valid,Valid
03-01-2011 00:00,NO,YES,1,1,4,44,18,120,1229,1349,Monday,FALSE,Valid,Valid,Valid
04-01-2011 00:00,NO,YES,1,2,2.5,64,9,108,1454,1562,Tuesday,FALSE,Valid,Valid,Valid
05-01-2011 00:00,NO,YES,1,2.5,1,42.5,13,82,1518,1600,Wednesday,FALSE,Valid,Valid,Valid
06-01-2011 00:00,NO,YES,1,2,2,52,6,88,1518,1606,Thursday,FALSE,Valid,Valid,Valid
07-01-2011 00:00,NO,YES,2,1,3,47.5,11,148,1362,1510,Friday,FALSE,Valid,Valid,Valid
08-01-2011 00:00,NO,NO,2,1,5,51,17,68,891,959,Saturday,FALSE,Valid,Valid,Valid
09-01-2011 00:00,NO,NO,1,2,8.5,46,25,54,768,822,Sunday,FALSE,Valid,Valid,Valid
10-01-2011 00:00,NO,YES,1,2,6,50,15,41,1280,1321,Monday,FALSE,Valid,Valid,Valid
11-01-2011 00:00,NO,YES,2,1,3.5,57,7,43,1220,1263,Tuesday,FALSE,Valid,Valid,Valid
12-01-2011 00:00,NO,YES,1,1,5.5,55,22,25,1137,1162,Wednesday,FALSE,Valid,Valid,Valid
13-01-2011 00:00,NO,YES,1,2,7,48.5,20,38,1368,1406,Thursday,FALSE,Valid,Valid,Valid
14-01-2011 00:00,NO,YES,1,2,3,54,8,54,1367,1421,Friday,FALSE,Valid,Valid,Valid
15-01-2011 00:00,NO,NO,2,3.5,3.5,52,12,222,1026,1248,Saturday,FALSE,Valid,Valid,Valid
16-01-2011 00:00,NO,NO,1,2.5,2,49.5,15,251,953,1204,Sunday,FALSE,Valid,Valid,Valid
17-01-2011 00:00,YES,YES,2,1,4,48,13,117,883,1000,Monday,FALSE,Valid,Valid,Valid
18-01-2011 00:00,NO,YES,2,1,3,87,14,9,674,683,Tuesday,FALSE,Valid,Valid,Valid
19-01-2011 00:00,NO,YES,2,5.5,2.5,71.5,10,78,1572,1650,Wednesday,FALSE,Valid,Valid,Valid
20-01-2011 00:00,NO,YES,2,4,2,56,15,83,1844,1927,Thursday,FALSE,Valid,Valid,Valid
21-01-2011 00:00,NO,YES,1,2,5,42,22,75,1468,1543,Friday,FALSE,Valid,Valid,Valid
22-01-2011 00:00,NO,NO,1,6.5,11,42,11,93,888,981,Saturday,FALSE,Valid,Valid,Valid
23-01-2011 00:00,NO,NO,1,4,10,42,15,150,836,986,Sunday,FALSE,Valid,Valid,Valid
24-01-2011 00:00,NO,YES,1,2.5,7,49,13,86,1330,1416,Monday,FALSE,Valid,Valid,Valid
25-01-2011 00:00,NO,YES,2,2,4,65,9,186,1799,1985,Tuesday,FALSE,Valid,Valid,Valid
26-01-2011 00:00,NO,YES,3,2,4,93,22,34,472,506,Wednesday,FALSE,Valid,Valid,Valid
27-01-2011 00:00,NO,YES,1,1.5,2,70,12,15,416,431,Thursday,FALSE,Valid,Valid,Valid
28-01-2011 00:00,NO,YES,2,1,2,80,7,38,1129,1167,Friday,FALSE,Valid,Valid,Valid
29-01-2011 00:00,NO,NO,1,1,2.5,64,9,123,975,1098,Saturday,FALSE,Valid,Valid,Valid
30-01-2011 00:00,NO,NO,1,3,2,70,0,140,956,1096,Sunday,FALSE,Valid,Valid,Valid
31-01-2011 00:00,NO,YES,2,1,4,59,13,42,1459,1501,Monday,FALSE,Valid,Valid,Valid
01-02-2011 00:00,NO,YES,2,2,1,86.5,0,47,1313,1360,Tuesday,FALSE,Valid,Valid,Valid
02-02-2011 00:00,NO,YES,2,2.5,2.5,93,16,72,1454,1526,Wednesday,FALSE,Valid,Valid,Valid
03-02-2011 00:00,NO,YES,1,1,4.5,44,20,61,1489,1550,Thursday,FALSE,Valid,Valid,Valid
04-02-2011 00:00,NO,YES,2,3,1.5,59,9,88,1620,1708,Friday,FALSE,Valid,Valid,Valid
05-02-2011 00:00,NO,NO,2,2,1,100,10,100,905,1005,Saturday,FALSE,Valid,Valid,Valid
06-02-2011 00:00,NO,NO,1,4.5,3,61,7,354,1269,1623,Sunday,FALSE,Valid,Valid,Valid
07-02-2011 00:00,NO,YES,1,5,5,75,0,120,1592,1712,Monday,FALSE,Valid,Valid,Valid
08-02-2011 00:00,NO,YES,1,3,4,40,27,64,1466,1530,Tuesday,TRUE,Valid,Valid,Valid
09-02-2011 00:00,NO,YES,2,2,6,44,12,53,1552,1605,Wednesday,FALSE,Valid,Valid,Valid
10-02-2011 00:00,NO,YES,1,2,5.5,41.5,15,47,1491,1538,Thursday,FALSE,Valid,Valid,Valid
11-02-2011 00:00,NO,YES,1,4,4,59,6,149,1597,1746,Friday,FALSE,Valid,Valid,Valid
12-02-2011 00:00,NO,NO,1,3.5,2,43.5,10,288,1184,1472,Saturday,FALSE,Valid,Valid,Valid
13-02-2011 00:00,NO,NO,1,9.5,6,36,20,397,1192,1589,Sunday,FALSE,Valid,Valid,Valid
14-02-2011 00:00,NO,YES,1,10,6,40.5,29,208,1705,1913,Monday,TRUE,Valid,Valid,Valid
15-02-2011 00:00,NO,YES,1,4,3.5,32,17,140,1675,1815,Tuesday,FALSE,Valid,Valid,Valid
16-02-2011 00:00,NO,YES,1,8,5.5,44,15,218,1897,2115,Wednesday,FALSE,Valid,Valid,Valid
17-02-2011 00:00,NO,YES,1,13.5,13.5,54.5,15,259,2216,2475,Thursday,FALSE,Valid,Valid,Valid
18-02-2011 00:00,NO,YES,1,15.5,15.5,51,16,579,2348,2927,Friday,FALSE,Valid,Valid,Valid
19-02-2011 00:00,NO,NO,1,11,11,17,35,532,1103,1635,Saturday,TRUE,Valid,Valid,Valid
20-02-2011 00:00,NO,NO,1,6,4,42.5,11,639,1173,1812,Sunday,FALSE,Valid,Valid,Valid
21-02-2011 00:00,YES,YES,2,7,5,66,20,195,912,1107,Monday,FALSE,Valid,Valid,Valid
22-02-2011 00:00,NO,YES,1,2,6,60,17,74,1376,1450,Tuesday,FALSE,Valid,Valid,Valid
23-02-2011 00:00,NO,YES,1,3,6,48,6,139,1778,1917,Wednesday,FALSE,Valid,Valid,Valid
24-02-2011 00:00,NO,YES,2,7,4,70,19,100,1707,1807,Thursday,FALSE,Valid,Valid,Valid
25-02-2011 00:00,NO,YES,2,7,6,60,24,120,1341,1461,Friday,FALSE,Valid,Valid,Valid
26-02-2011 00:00,NO,NO,1,5,3,56,14,424,1545,1969,Saturday,FALSE,Valid,Valid,Valid
27-02-2011 00:00,NO,NO,1,9,8,62,9,694,1708,2402,Sunday,FALSE,Valid,Valid,Valid
28-02-2011 00:00,NO,YES,2,10,8,93,19.5,81,1365,1446,Monday,FALSE,Valid,Valid,Valid
01-03-2011 00:00,NO,YES,1,3.5,4,58,14,137,1714,1851,Tuesday,FALSE,Valid,Valid,Valid
02-03-2011 00:00,NO,YES,1,6.5,3.5,37,19.5,231,1903,2134,Wednesday,FALSE,Valid,Valid,Valid
03-03-2011 00:00,NO,YES,1,1.5,3,34,13,123,1562,1685,Thursday,FALSE,Valid,Valid,Valid
04-03-2011 00:00,NO,YES,2,5.5,4,67.5,13,214,1730,1944,Friday,FALSE,Valid,Valid,Valid
05-03-2011 00:00,NO,NO,2,12,12,77,19.5,640,1437,2077,Saturday,FALSE,Valid,Valid,Valid
06-03-2011 00:00,NO,NO,2,11.5,11.5,100,21,114,491,605,Sunday,FALSE,Valid,Valid,Valid
07-03-2011 00:00,NO,YES,1,4,4,48,26,244,1628,1872,Monday,FALSE,Valid,Valid,Valid
08-03-2011 00:00,NO,YES,1,6,3,45.5,8,316,1817,2133,Tuesday,FALSE,Valid,Valid,Valid
09-03-2011 00:00,NO,YES,2,7,3,76,17,191,1700,1891,Wednesday,FALSE,Valid,Valid,Valid
10-03-2011 00:00,NO,YES,3,10.5,9.5,100,17,46,577,623,Thursday,FALSE,Valid,Valid,Valid
11-03-2011 00:00,NO,YES,2,7,4,57,17,247,1730,1977,Friday,FALSE,Valid,Valid,Valid
12-03-2011 00:00,NO,NO,1,8.5,5.5,63.5,13,724,1408,2132,Saturday,FALSE,Valid,Valid,Valid
13-03-2011 00:00,NO,NO,1,9.5,8.5,53.5,20,982,1435,2417,Sunday,FALSE,Valid,Valid,Valid
14-03-2011 00:00,NO,YES,1,7.5,5.5,47.5,9,359,1687,2046,Monday,FALSE,Valid,Valid,Valid
15-03-2011 00:00,NO,YES,2,7,5,68,13,289,1767,2056,Tuesday,FALSE,Valid,Valid,Valid
16-03-2011 00:00,NO,YES,2,9,8,82,13,321,1871,2192,Wednesday,FALSE,Valid,Valid,Valid
17-03-2011 00:00,NO,YES,1,12,12,63,15,424,2320,2744,Thursday,FALSE,Valid,Valid,Valid
18-03-2011 00:00,NO,YES,1,19,19,52,15,884,2355,3239,Friday,FALSE,Valid,Valid,Valid
19-03-2011 00:00,NO,NO,1,14,14,38,25,1424,1693,3117,Saturday,FALSE,Valid,Valid,Valid
20-03-2011 00:00,NO,NO,1,8,5,51.5,15,1047,1424,2471,Sunday,FALSE,Valid,Valid,Valid
21-03-2011 00:00,NO,YES,2,12.5,12.5,74.5,19.5,401,1676,2077,Monday,FALSE,Valid,Valid,Valid
22-03-2011 00:00,NO,YES,1,13,13,56.5,16,460,2243,2703,Tuesday,FALSE,Valid,Valid,Valid
23-03-2011 00:00,NO,YES,2,8,5,87,15,203,1918,2121,Wednesday,FALSE,Valid,Valid,Valid
